UserId,Total_reviews,Followers
9376208,8,0
8531611,74,6
9121379,22,2
23386039,1,0
23385725,1,0
15180773,1,0
8123285,2,0
10997404,8,0
10110823,1,0
10111077,1,0
10913442,1,0
10916026,1,0
13504497,1,0
11986461,6,0
508040,1,8
16248448,0,0
12738869,1,0
16246775,0,0
18142657,1,0
12001730,1,0
17776036,4,0
10239230,1,0
8969395,1,68
1881498,1,59
8273609,1,0
9585551,1,0
18980905,3,0
18990283,2,0
17434233,21,0
9286381,70,177
8421794,57,2
881518,3,23
9588425,90,4
19319958,2,0
19264980,8,0
19151956,2,0
19195359,5,0
8304284,30,10
20698889,1,0
11386181,2,0
13759669,1,0
13205935,2,0
10013315,1,0
8852700,580,106
10484831,1,0
18861897,258,13
1423432,4,0
16063386,7,0
21243620,2,0
10029031,3,0
1385323,12,1
14076152,2,0
719310,16,10
1946334,2,7
6231,1,53
22333119,1,0
14424094,6,2
1759262,523,854
19139347,4,0
12222597,22,0
12779263,1,0
12738723,1,0
12962693,1,0
12782353,1,0
12745608,1,0
9254510,1,123
2176316,32,55
23916521,1,0
10482659,15,0
13655628,10,0
564208,76,259
11416994,13,0
14602660,3,0
20982309,3,0
14770949,1,0
1119454,4,71
857455,1,1
12130941,1,1
419624,1,26
8834704,4,21
19010993,1,0
368099,1,2
14253963,22,0
2291414,5,108
8627599,11,3
246439,23,3
19754828,1,0
1771878,1,29
14878819,1,0
8339192,11,1
12042442,39,1
10057846,1,0
2082582,6,20
276870,475,621
12520353,6,0
9767992,3,0
11228676,1,0
10057946,1,0
16350530,1,0
17993926,1,0
18306374,15,1
8115794,38,8
13896405,5,0
17531697,1,0
1712182,35,210
1834100,10,22
1945362,27,196
744914,13,65
9510532,6,0
14614107,2,0
11817800,2,0
18004183,1,0
8503125,1,125
8652668,6,0
1004937,35,73
8204665,84,122
12852849,1,0
8524660,98,43
8596387,101,15
9757151,1,0
9536620,58,18
9511780,5,0
11234477,2,0
1374319,47,232
18177261,1,0
1376273,1,9
15706277,2,0
9911674,1,0
15052439,1,0
9286066,2,0
1511804,4,13
8457260,6,4
744617,1,0
21474485,5,0
17615856,1,0
14397341,1,0
8754524,34,53
12954927,24,0
1662701,70,50
1138244,91,72
883117,18,64
8712079,4,0
9371302,1,1
390029,159,287
18784612,1,0
1636073,64,48
12067714,0,0
10157191,79,17
16178123,2,0
8346808,1,0
9504596,13,0
10726746,2,0
9308096,61,4
9554289,13,0
8195413,10,7
11001860,30,2
2260338,9,19
12351389,32,2
1964558,78,88
83330,46,8
9203759,16,0
1312074,401,850
2231746,13,25
1534479,2,0
21468504,5,0
478152,41,52
1923955,73,48
20385717,1,0
189695,343,159
1851390,385,114
598409,14,23
1814516,88,58
661672,10,142
11671499,6,0
1902934,1,10
1457020,24,22
9162306,1,3
8301377,3,0
620462,1,112
1087807,5,21
1360469,186,99
982209,10,26
16184954,1,0
647933,20,91
12440015,5,0
16193092,1,0
870114,143,24
19158002,1,0
9022217,3,0
841395,29,131
484116,17,6
14488819,1,0
11791393,1,0
14884532,1,0
11040343,30,0
900166,2,42
8348533,2,10
12033798,1,0
17638259,1,0
11415137,1,0
774035,2,27
1779645,192,155
1923541,9,0
13118802,5,0
1982698,102,13
10353142,2,0
868427,97,4
8655895,3,10
12299095,1,0
8246320,12,1
8826355,3,1
2295657,7,17
1767373,13,0
646979,85,16
388056,145,44
